"","recid","province","department","dcode","year","month","dip","pres","total","ucr","pj","soc","con","enp","urb","lit","pop"
"1",6046,"Buenos Aires","25 de Mayo",1000,1914,NA,1,0,1446,724,NA,0,722,1.99999618530273,0.294494092464447,0.563029708400848,31094
"2",6227,"Buenos Aires","25 de Mayo",1000,1916,NA,1,0,2725,1358,NA,38,1329,2.0559070110321,0.295388541438363,0.579200029373169,31598.6060606061
"3",6539,"Buenos Aires","25 de Mayo",1000,1918,NA,1,0,2698,1863,NA,35,800,1.77023696899414,0.296282990412279,0.595370350345489,32103.2121212122
"4",6798,"Buenos Aires","25 de Mayo",1000,1920,NA,1,0,2664,1620,NA,42,1002,1.95497727394104,0.297177439386194,0.611540671317808,32607.8181818182
"5",136,"Buenos Aires","25 de Mayo",1000,1922,NA,0,1,2097,1584,NA,8,505,1.59087491035461,0.29807188836011,0.627710992290128,33112.4242424243
"6",7076,"Buenos Aires","25 de Mayo",1000,1926,NA,1,0,1863,1391,NA,53,417,1.6436812877655,0.299860786307942,0.660051634234767,34121.6363636364
"7",472,"Buenos Aires","25 de Mayo",1000,1928,NA,0,1,5553,2944,NA,8,2423,2.6409318447113,0.300755235281858,0.676221955207087,34626.2424242424
"8",7448,"Buenos Aires","25 de Mayo",1000,1930,NA,1,0,5239,2392,NA,23,2824,2.00385355949402,0.301649684255773,0.692392276179406,35130.8484848485
"9",929,"Buenos Aires","25 de Mayo",1000,1946,NA,0,1,8808,2699,5878,NA,231,1.85206496715546,0.3088052760471,0.821754843957963,39167.696969697
"10",14900,"Buenos Aires","25 de Mayo",1000,1948,3,1,0,6350,1340,4184,64,572,2.05195021629333,0.328972729352806,0.83268023214557,39075.8461538461
"11",15197,"Buenos Aires","25 de Mayo",1000,1948,12,1,0,6765,1120,5196,NA,NA,1.61340439319611,0.328972729352806,0.83268023214557,39075.8461538461
"12",7911,"Buenos Aires","25 de Mayo",1000,1954,NA,1,0,19509,4708,13222,95,1022,1.92079675197601,0.447294102265289,0.849721598354253,37010.923076923
"13",14532,"Buenos Aires","25 de Mayo",1000,1957,NA,1,0,19281,12232,3804,314,1618,4.15674018859863,0.506454788721527,0.858242281458595,35978.4615384615
"14",1381,"Buenos Aires","25 de Mayo",1000,1958,NA,0,1,20144,15144,168,127,642,3.23251700401306,0.526175017540275,0.861082509160042,35634.3076923076
"15",15611,"Buenos Aires","25 de Mayo",1000,1960,NA,1,0,19338,9971,4501,NA,283,4.69631290435791,0.565615475177765,0.866762964562937,34946
"16",8345,"Buenos Aires","25 de Mayo",1000,1962,NA,1,0,20125,8994,7268,NA,117,4.08661699295044,0.562896239757538,0.872443419965832,34756.2
"17",16009,"Buenos Aires","25 de Mayo",1000,1963,NA,1,0,16468,8482,2836,NA,692,5.04114627838135,0.561536622047424,0.875283647667279,34661.3
